num,state,x,y
0,Andhra Pradesh,-57.0,-138.0
1,Arunachal Pradesh,188.0,91.0
2,Assam,165.0,54.0
3,Bihar,53.0,42.0
4,Chhattisgarh,-9.0,-29.0
5,Goa,-129.0,-133.0
6,Gujarat,-176.0,-2.0
7,Haryana,-95.0,104.0
8,Himachal Pradesh,-81.0,156.0
9,Jammu And Kashmir,-94.0,201.0
10,Jharkhand,39.0,6.0
11,Karnataka,-110.0,-150.0
12,Kerala,-94.0,-208.0
13,Madhya Pradesh,-66.0,-0.0
14,Maharashtra,-118.0,-65.0
15,Manipur,180.0,25.0
16,Meghalaya,140.0,38.0
17,Mizoram,162.0,1.0
18,Nagaland,189.0,49.0
19,Odisha,28.0,-45.0
20,Punjab,-110.0,133.0
21,Rajasthan,-147.0,60.0
22,Sikkim,93.0,74.0
23,Tamil Nadu,-64.0,-204.0
24,Telangana,-55.0,-89.0
25,Tripura,142.0,6.0
26,Uttar Pradesh,-26.0,64.0
27,Uttarakhand,-50.0,122.0
28,West Bengal,81.0,-5.0
